"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1021123-20","","中原眼科前(2)","","33.24112","130.32079","1021123-20","","0","1021123","",""
"1021124-20","","北川副小西(2)","","33.24029","130.32257","1021124-20","","0","1021124","",""
"1021125-20","","北川副公民館前(2)","","33.2391","130.32469","1021125-20","","0","1021125","",""
"1021126-20","","江上(2)","","33.23926","130.3277","1021126-20","","0","1021126","",""
"1021127-20","","増田宿(2)","","33.2388","130.33157","1021127-20","","0","1021127","",""
"1021128-20","","光法団地前(2)","","33.23587","130.33182","1021128-20","","0","1021128","",""
"1021129-20","","光法北(2)","","33.23342","130.33192","1021129-20","","0","1021129","",""
"1021130-20","","諸富橋北(2)","","33.22437","130.36456","1021130-20","","0","1021130","",""
"1021131-20","","味の素東門(2)","","33.22566","130.36603","1021131-20","","0","1021131","",""
"1021132-20","","徳富大橋(2)","","33.22955","130.37042","1021132-20","","0","1021132","",""
"1021133-20","","徳富(2)","","33.23484","130.37085","1021133-20","","0","1021133","",""
"1021134-00","","橋津","","33.23615","130.3698","1021134-00","","0","1021134","",""
"1021133-10","","徳富(1)","","33.23503","130.3708","1021133-10","","0","1021133","",""
"1021132-10","","徳富大橋(1)","","33.22923","130.3703","1021132-10","","0","1021132","",""
"1021131-10","","味の素東門(1)","","33.22527","130.3656","1021131-10","","0","1021131","",""
"1021130-10","","諸富橋北(1)","","33.22313","130.36362","1021130-10","","0","1021130","",""
"1021129-10","","光法北(1)","","33.23372","130.33179","1021129-10","","0","1021129","",""
"1021128-10","","光法団地前(1)","","33.23596","130.33171","1021128-10","","0","1021128","",""
"1021127-10","","増田宿(1)","","33.23855","130.33151","1021127-10","","0","1021127","",""
"1021126-10","","江上(1)","","33.23919","130.32738","1021126-10","","0","1021126","",""
"1021125-10","","北川副公民館前(1)","","33.23889","130.32327","1021125-10","","0","1021125","",""
"1021124-10","","北川副小西(1)","","33.23995","130.32237","1021124-10","","0","1021124","",""
"1021123-10","","中原眼科前(1)","","33.24092","130.3206","1021123-10","","0","1021123","",""
"1021122-10","","武藤(1)","","33.24208","130.31606","1021122-10","","0","1021122","",""
"1021121-10","","安住団地入口(1)","","33.24539","130.31435","1021121-10","","0","1021121","",""
"1021120-20","","朝日町(2)","","33.24732","130.3119","1021120-20","","0","1021120","",""
"1021119-10","","水ヶ江(1)","","33.247","130.30925","1021119-10","","0","1021119","",""
"1020096-03","","大崎(3)","","33.24135","130.30984","1020096-03","","0","1020096","",""
"1023135-20","","袋住宅前(2)","","33.23883","130.31024","1023135-20","","0","1023135","",""
"1023136-20","","八田橋(2)","","33.23708","130.31035","1023136-20","","0","1023136","",""
"1023137-20","","八田宮前(2)","","33.23366","130.31172","1023137-20","","0","1023137","",""
"1023138-20","","三角茶屋(2)","","33.2305","130.31232","1023138-20","","0","1023138","",""
"1023139-20","","南里(2)","","33.22661","130.31334","1023139-20","","0","1023139","",""
"1023140-20","","農業大学校前(2)","","33.22302","130.31348","1023140-20","","0","1023140","",""
"1023141-20","","南里南(2)","","33.22025","130.31345","1023141-20","","0","1023141","",""
"1023142-20","","坂井(2)","","33.21429","130.31332","1023142-20","","0","1023142","",""
"1023143-20","","西古賀(2)","","33.21078","130.31332","1023143-20","","0","1023143","",""
"1023144-20","","西川副小学校前(2)","","33.2074","130.31363","1023144-20","","0","1023144","",""
"1023145-20","","鋤崎(2)","","33.2024","130.31416","1023145-20","","0","1023145","",""
"1023146-20","","小々森入口(2)","","33.19677","130.31479","1023146-20","","0","1023146","",""
"1023147-20","","鹿江団地東(2)","","33.19364","130.31528","1023147-20","","0","1023147","",""
"1023148-20","","咾分(2)","","33.19181","130.31648","1023148-20","","0","1023148","",""
"1023149-20","","川副支所前(2)","","33.19159","130.31924","1023149-20","","0","1023149","",""
"1023150-20","","犬井道(2)","","33.18955","130.32022","1023150-20","","0","1023150","",""
"1023151-20","","平田分(2)","","33.18934","130.32281","1023151-20","","0","1023151","",""
"1023152-10","","和崎(1)","","33.19007","130.32912","1023152-10","","0","1023152","",""
"1023153-20","","中津(2)","","33.1898","130.33124","1023153-20","","0","1023153","",""
"1023154-20","","上の小路(2)","","33.18279","130.34258","1023154-20","","0","1023154","",""
"1023155-00","","大詫間","","33.17902","130.34241","1023155-00","","0","1023155","",""
"1023154-10","","上の小路(1)","","33.18272","130.34238","1023154-10","","0","1023154","",""
"1023153-10","","中津(1)","","33.18962","130.33096","1023153-10","","0","1023153","",""
"1023151-10","","平田分(1)","","33.18931","130.32361","1023151-10","","0","1023151","",""
"1023150-10","","犬井道(1)","","33.19018","130.31938","1023150-10","","0","1023150","",""
"1023149-10","","川副支所前(1)","","33.19149","130.31918","1023149-10","","0","1023149","",""
"1023148-10","","咾分(1)","","33.19175","130.31609","1023148-10","","0","1023148","",""
"1023147-10","","鹿江団地東(1)","","33.19365","130.31517","1023147-10","","0","1023147","",""
"1023146-10","","小々森入口(1)","","33.19642","130.31476","1023146-10","","0","1023146","",""
"1023145-10","","鋤崎(1)","","33.20293","130.31403","1023145-10","","0","1023145","",""
"1023144-10","","西川副小学校前(1)","","33.20747","130.31349","1023144-10","","0","1023144","",""
"1023143-10","","西古賀(1)","","33.2109","130.31322","1023143-10","","0","1023143","",""
"1023142-10","","坂井(1)","","33.21497","130.31325","1023142-10","","0","1023142","",""
"1023141-10","","南里南(1)","","33.22022","130.31332","1023141-10","","0","1023141","",""
"1023140-10","","農業大学校前(1)","","33.22356","130.31334","1023140-10","","0","1023140","",""
"1023139-10","","南里(1)","","33.22548","130.31334","1023139-10","","0","1023139","",""
"1023138-10","","三角茶屋(1)","","33.23002","130.31219","1023138-10","","0","1023138","",""
"1023137-10","","八田宮前(1)","","33.23359","130.31168","1023137-10","","0","1023137","",""
"1023136-10","","八田橋(1)","","33.23717","130.31021","1023136-10","","0","1023136","",""
"1023135-10","","袋住宅前(1)","","33.23871","130.3101","1023135-10","","0","1023135","",""
"1020096-04","","大崎(4)","","33.24031","130.3098","1020096-04","","0","1020096","",""
"1024156-20","","博物館前(2)","","33.24509","130.3015","1024156-20","","0","1024156","",""
